Code,Description,Unit,,,Category
WDL,"Wood door - lauan face, 5 or 7 ply hollow core",EA,&,$110.92,
WDLFR,"Wood door - lauan face, fire rated (mineral fiber core)",EA,&,$380.16,
WDLSC,"Wood door - lauan face, solid core",EA,&,$144.69,
WDLV,Wood door slab - solid - full louvered - Commercial,EA,&,$451.70,
WDO,"Wood door - oak face, 5 or 7 ply hollow core",EA,&,$134.52,
WDOFR,"Wood door - oak face, fire rated (mineral fiber core)",EA,&,$380.51,
WDOSC,"Wood door - oak face, solid core",EA,&,$201.70,
WDPNL,Wood door - panel - solid pine,EA,&,$267.22,
WF,"Wood door frame & trim (for a 2"" x 4"" wall)",LF,&,$8.01,
WF6,"Wood door frame & trim (for a 2"" x 6"" wall)",LF,&,$8.89,
WFH,"Wood door frame & trim - hardwood (for a 2"" x 4"" wall)",LF,&,$12.29,
WFH6,"Wood door frame & trim - hardwood (for a 2"" x 6"" wall)",LF,&,$14.84,
WFHX,Wood door frame & trim - exterior - hardwood,LF,&,$16.69,
WFHX7,"Wood door frame & trim - exterior - hardwood, 7 1/4"" wide",LF,&,$19.02,
WFX,Wood door frame & trim - exterior - softwood,LF,&,$10.26,
WFX7,"Wood door frame & trim - exterior - softwood, 7 1/4"" wide",LF,&,$12.32,
WN,"Glass lite, up to 24"" x 24""",EA,&,$136.33,
X,Exterior door - metal - insulated - flush or panel style,EA,&,$251.51,
X-,Exterior door - solid core lauan / mahogany or birch flush,EA,&,$241.27,
X--,Exterior door - metal - insulated - Standard grade,EA,&,$237.86,
X+,Exterior door - metal - insulated / wood - High grade,EA,&,$426.49,
X++,Exterior door - fiberglass / wood w/detail - Premium grade,EA,&,$821.37,
X+++,Exterior door - Deluxe grade - wood w/detail - pre-hung,EA,&,"$1,902.97",
X2,Exterior door - double - metal - insul. - flush or panel,EA,&,$513.27,
X8,"Exterior door, 8' - metal - insulated - flush or panel",EA,&,$432.20,
X8+,"Exterior door, 8' - insulated metal / wood - High grade",EA,&,$563.02,
X8++,"Exterior door, 8' - fiberglass / wood w/detail - Premium",EA,&,"$1,490.57",
X8+++,"Exterior door, 8' - Deluxe - wood w/detail - pre-hung",EA,&,"$2,367.57",
X8RS,"Exterior door, 8' tall - Detach & reset",EA,#ERROR!,$100.24,
XDRS,Exterior double door - Detach & reset,EA,#ERROR!,$145.22,
XG,Greenhouse door and frame,EA,&,$623.83,
XGS,Greenhouse door and frame - sliding,EA,&,$607.83,
XPD,Exterior double door - paneled hardwood - no casing,EA,&,"$1,904.95",
XPD+,Ext.double door - paneled hardwood - High grade -no casing,EA,&,"$3,842.95",
XPD++,Ext. double door - pnl hardwood - Prem grade - no casing,EA,&,"$6,315.95",
XPD8,"Exterior double door - paneled hardwood, 8' - no casing",EA,&,"$2,650.15",
XPD8+,"Ext. double door - pnl hardwood, 8' - High grade no casing",EA,&,"$4,596.97",
XPD8++,Ext. double door - pnl hardwood - 8' Prem. grade no casing,EA,&,"$6,893.25",
XPD8RS,Ext. double door - 8' tall - no casing - Detach & reset,EA,#ERROR!,$132.81,
XPDR,Exterior double door - paneled hardwood - radius top,EA,&,"$7,464.55",
XPDR+,Ext.double door - paneled hardwood - radius top - High gr.,EA,&,"$9,544.55",
XPDR++,Ext. double door - pnl hardwood - Radius top - Prem grade,EA,&,#######,
XPDRS,Ext. double door - no casing - Detach & reset,EA,#ERROR!,$126.92,
XRETRO,Additional charge for a retrofit exterior door,EA,#ERROR!,$108.62,
XRETRO>,Additional charge for a retrofit exterior door - large,EA,#ERROR!,$162.92,
XRETROC,Additional charge to cut down an exterior door,EA,#ERROR!,$90.51,
XRS,Exterior door - Detach & reset,EA,#ERROR!,$86.29,
XS,Exterior door slab - metal - insulated - flush or panel,EA,&,$183.55,
XS-,Exterior door slab - solid core lauan/mah./birch - flush,EA,&,$180.55,
XS--,Exterior door slab - metal - insulated - Standard grade,EA,&,$164.60,
XS+,Exterior door slab - insulated metal or wood - High grade,EA,&,$334.95,
XS++,Exterior door slab - fiberglass/wood w/detail - Premium gr,EA,&,$690.80,
XS+++,Exterior door slab - detailed wood - Deluxe grade,EA,&,"$1,574.75",
XS8,"Exterior door slab, 8' - insulated metal - flush or panel",EA,&,$322.59,
XS8+,"Exterior door slab, 8' - wood or metal - High grade",EA,&,$404.99,
XS8++,"Exterior door slab, 8' - fiberglass/wood - Premium grade",EA,&,"$1,132.99",
XS8+++,"Exterior door slab, 8' - detailed wood - Deluxe grade",EA,&,"$1,834.99",
XSL,Exterior door sidelite - pre-attached,EA,&,$198.85,
XSL+,Ext. door sidelite - pre-attached - High grade,EA,&,$470.33,
XSL+++,Ext. door sidelite - pre-attached - Deluxe grade,EA,&,$989.01,
XSLRS,Exterior door sidelite - Detach & reset,EA,#ERROR!,$27.69,
XSLT,Exterior door sidelite - sidelite only,EA,&,$273.71,
XSLT+,Exterior door sidelite - sidelite only - High grade,EA,&,$548.53,
XSLT+++,Exterior door sidelite - sidelite only - Deluxe grade,EA,&,"$1,063.87",
XSM,Exterior door with storm door - mobile home,EA,&,$459.24,
XSM+,Exterior door with storm door - High grade - mobile home,EA,&,$565.24,
XSMRS,Exterior door with storm door - m/home - Detach & reset,EA,#ERROR!,$91.00,
XSRS,Exterior door slab - Detach & reset,EA,#ERROR!,$15.61,
