Category,Selection,Description
CAB,PLY+,"Cabinet panels - side, end, or back - High grade"
CLN,LOW,Clean cabinetry - lower - inside and out
PNT,LOW,Seal & paint cabinetry - lower - inside and out
,,
FCC,AV,Carpet
CLN,COVE,Clean carpet cove (wall wrap)
CLN,COVE,Clean carpet cove (wall wrap) - Light
CLN,CCPC,Re-apply protective coating on carpet
CLN,CCSTN,Clean and deodorize carpet - heavy staining
FCC,PAD,Carpet pad
FCC,PAD-,Carpet pad - Standard grade
FCC,PAD+,Carpet pad - High grade
FCC,PAD++,Carpet pad - Premium grade
,,
DOR,AV,Interior door unit
PNT,DORSP,Seal & paint door slab only (per side)
FNC,C>,"Casing - 3 1/4"""
CLN,OP,Clean door / window opening (per side)
PNT,OP,Paint door or window opening - 2 coats (per side)
FNH,DORH,Door knob - interior
PNT,DOR,Paint door slab only - 2 coats (per side)
CLN,DOR,Clean door (per side)
CLN,DORH,Clean door hardware
FNC,C,"Casing - 2 1/4"""
PNT,DORS,Stain & finish door slab only (per side)
PNT,BP1SP,Seal/Paint bypass door set - slab only- 2 coats (per side)
FNH,DBX,Door lockset & deadbolt - exterior
FNH,DORHRS,Door knob/lockset - Detach & reset
,,
DRY,ACT,Acoustic ceiling tile
ACT,FUR,Acoustic ceiling tile furring
CLN,ACT,Clean acoustic ceiling tile
CLN,ACT-,Clean acoustic ceiling tile - Light
CLN,ACT+,Clean acoustic ceiling tile - Heavy
PNT,ACT,Seal & paint acoustic ceiling tile
,,
APM,DRYG,Dryer - Gas
HVC,DVENTHD,Clothes dryer vent cover
HVC,DVENT,Clothes dryer vent - installed
CLN,DVENT,Clean dryer vent
HVC,DVENTBX,Clothes dryer vent box - recessed
,,
APP,DW,Dishwasher
APP,DWR,Dishwasher - Reset
CLN,DWX,Clean dishwasher - exterior
CLN,DW,Clean dishwasher - interior and exterior
WTR,DWD,Dishwasher - Detach
APP,DWSUP,Dishwasher supply line - material only
,,
APP,MWS,Microwave oven - over range w/built-in hood
CHF,MWC,Clean microwave cart
CLN,MW,Clean microwave - over range - interior and exterior
CLN,MWX,Clean microwave - over range - exterior
,,
APP,HD,Range hood
CLNHD,,Clean range hood
APP,HDRS,Range hood - Detach & reset
CLN,HDC,Clean range hood - Commercial
APP,HDI,Range hood - add on cost for ceiling mount/island hood
,,
APP,WAS,Washing Machine
APP,WAST,Washer/Washing Machine - Top-loading
APP,WAST+,Washer/Washing Machine - Top-loading - High grade
APM,WASF,Washer / Washing machine - Front-loading
APM,WASF+,Washer / Washing machine - Front-loading - High grade
APM,WAST,Washer / Washing machine - Top-loading
APM,WAST+,Washer / Washing machine - Top-loading - High grade
APM,WDCE,Washer / Washing machine & dryer combo - Electric
APM,WDCG,Washer / Washing machine & dryer combo - Gas
APP,WASF,Washer/Washing Machine - Front-loading
APP,WASF+,Washer/Washing Machine - Front-loading - High grade
,,
CAB,CT,Countertop
CLN,CTF,Clean countertop
TIL,CTTLB,Add-on for tile backsplash installation
CAB,CTMITER,Add-on for mitered corner (Countertop)
CAB,CTFSPL4,"4"" backsplash for flat laid countertop"
CAB,CTFSPL6,"6"" backsplash for flat laid countertop"
CLN,CTTL,Clean countertop - tile
CAB,CTCONE,Add on concrete countertop - edge treatment
CAB,CTFSP4H,"4"" backsplash for flat laid countertop - Solid hardwood"
CAB,CTFSP6H,"6"" backsplash for flat laid countertop - Solid hardwood"
,,
LIT,BAR,Light bar
CLNBAR,,Clean light bar
CLNBAR<,,Clean light bar - Small
CLNBAR>,,Clean light bar - Large
,,
CAB,UP,Cabinet upper wall unit
CLN,UP,Clean cabinetry - upper - inside and out
CLN,UPF,Clean cabinetry - upper - faces only
PNT,UP,Seal & paint cabinetry - upper - inside and out
PNT,UPF,Seal & paint cabinetry - upper - faces only
CAB,UPRS,Cabinetry - upper (wall) units - Detach & reset
PNT,UPFS,Stain & finish cabinetry - upper - faces only
PNT,UPS,Stain & finish cabinetry - upper - inside and out
,,
CAB,VAN,Vanity
CLN,VAN,Clean vanity - inside and out
CLN,VANF,Clean vanity - faces only
PNT,VAN,Seal & paint vanity - inside and out
PNT,VANF,Seal & paint vanity - faces only
,,
DOR,BI,Bifold doors
CLN,BF,Clean door - bifold set (per side)
CLN,BF<,Clean door - bifold - single (per side)
PNT,BFS,Stain & finish bifold door set - slab only - (per side)
PNT,BFS<,Stain & finish single bifold door - slab only - (per side)
PNT,BFSP,Seal & paint bifold door set - slab only (per side)
PNT,BFSP<,Seal & paint single bifold door - slab only (per side)
,,
