Category,Selection,Description
CAB,CTBB,Countertop - wood - butcher block (hardrock maple)
,,
CAB,VAN,Vanity
CAB,VAN+,Vanity - High grade
CAB,VANGM,Vanity with granite or marble top
CAB,VANPE,Vanity with porcelain or engineered stone top
MBL,VTSNK,Vanity top - one sink - cultured marble
MBL,VTSNK>,Vanity top - two sinks - cultured marble
,,
DOR,AV,Interior door unit
DOR,ALDPD,Interior double door - solid alder - paneled - pre-hung
DOR,BIRCH,Interior door - birch - pre-hung unit
DOR,COL,Interior door - Colonist - pre-hung unit
DOR,MAH,Interior door - lauan/mahogany - pre-hung unit
DOR,FRI,French door - Interior - single - pre-hung unit
DOR,MAHP,Interior door - solid mahogany - paneled - pre-hung unit
DOR,OAK,Interior door - oak veneer - pre-hung unit
DOR,OAKPD,Interior double door - solid oak - paneled - pre-hung unit
,,
DOR,X,Exterior Door
DOR,X,Exterior door - metal - insulated - flush or panel style
DOR,X-,Exterior door - solid core lauan / mahogany or birch flush
DOR,X+++,Exterior door - Deluxe grade - wood w/detail - pre-hung
DOR,XSLT,Exterior door sidelite - sidelite only
DOR,FRX,French door - Exterior - pre-hung unit
DOR,FRX2,French double doors - Exterior - pre-hung unit
,,
FCT,AV,Tile floor covering
FCS,MBL,Marble or Granite floor tile
FCT,B,Tile base
FCT,QT,Quarry tile floor
FCT,SLATE,Slate tile
FCT,TRAV,Travertine tile
,,
FCV,AV,Snap lock laminate flooring
FCW,CK,Cork flooring - snaplock floating
FCW,AV,Oak flooring - #1 common - no finish
FCW,LAMTD,Engineered wood flooring
,,
FCW,AV,Oak flooring 1 common
FCW,CK,Cork flooring - snaplock floating
FCW,AV,Oak flooring - #1 common - no finish
FCW,LAMTD,Engineered wood flooring
,,
LIT,FNL,Celing fan with light
LIT,FN,Ceiling fan without light
ELE,FAN,Exhaust fan
,,
LIT,HG,Hanging light fixture
LIT,HG2,Hanging double light fixture
LIT,CHAN,Chandelier
,,
WDV,,Vinyl window
WDR,GLAZ,"Reglaze window, 10 - 16 sf"
WDR,GLAZ<,"Reglaze window, 1 - 9 sf"
WDV,VNRS,Vinyl window - Detach & reset
WDV,D,"Vinyl window - double hung, 9-12 sf"
WDV,D<,"Vinyl window - double hung, 4-8 sf"
WDV,S,"Vinyl window, single hung, 9-12 sf"
WDV,S<,"Vinyl window, single hung, 4-8 sf"
WDW,D,"Wood window - double hung, 9-12 sf"
WDW,D<,"Wood window - double hung, 4-8 sf"
WDW,D>,"Wood window - double hung, 13-19 sf"
WDW,S,"Wood window - single hung, 9-12 sf"
WDW,S<,"Wood window - single hung, 4-8 sf"
WDW,S>,"Wood window - single hung, 13-19 sf"
