PNT,OPSP,Seal & paint door or window opening (per side),,,,,,
PNT,DORSP,Seal & paint door slab only (per side),,,,,,
FNH,DORHRS,Door knob/lockset - Detach & reset,,,,,,
PNT,OPSP,Seal & paint door or window opening (per side),,,,,,
ELE,CHIME,Door bell/chime,,,,,,
FNH,DBX,Door lockset & deadbolt - exterior,,,,,,
CLN,OP,Clean door / window opening (per side),,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
CAB,UP/LOW,Cabinetry - upper (wall) units / Cabinetry - lower base units,,,,,,
Override,,,,,,,,
PNT,LOWF<,Paint cabinetry - lower - faces only,,,,,,
CLN,LOW,Clean cabinetry - lower - inside and out,,,,,,
PNT,LOWF<,Paint cabinetry - lower - faces only,,,,,,
PNT,UPF,Seal & paint cabinetry - upper - faces only,,,,,,
WTR,CABUP,Tear out cabinetry - upper (wall) units,,,,,,
CLN,UP,Clean cabinetry - upper - inside and out,,,,,,
CAB,UPR,Cabinetry - upper (wall) units - Reset,,,,,,
CAB,UPRS,Cabinetry - upper (wall) units - Detach & reset,,,,,,
CAB,LOWR,Cabinetry - lower base units - Reset,,,,,,
CAB,LOWRS,Cabinetry - lower base units - Detach & reset,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
APP,WAS,Washing machine,,,,,,
Override,,,,,,,,
APP,WSHRS,Washing machine - Remove & reset,,,,,,
APP,WAST,Washer/Washing Machine - Top-loading,,,,,,
APP,WSHR,Washing machine - Reset,,,,,,
APP,WSHD,Washing machine - Detach,,,,,,
APP,WASF,Washer/Washing Machine - Front-loading,,,,,,
APP,WDCE,Washer/Washing machine & dryer combo - Electric,,,,,,
APP,WDCG,Washer/Washing machine & dryer combo - Gas,,,,,,
WTR,WSHDA,Washing machine - Detach - after hours,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
CAB,CT,Countertop,,,,,,
Override,,,,,,,,
CLN,CTF,Clean countertop,,,,,,
TIL,CTTL,Countertop - Tile,,Category,Code,Item,,
CAB,CTSS,Countertop - solid surface,,PLM,SNK,Sink - single,,
CAB,CTGM,Countertop - Granite or Marble,,PLM,SNKDRS,Sink - double - Detach & reset,,
MBL,CTONX,Countertop - onyx,,CLN,FAU,Clean sink faucet,,
CAB,CTPF,Countertop - post formed plastic laminate,,CLN,SNKD,Clean sink - double,,
CAB,CTSSR,Countertop - solid surface/granite - Reset,RELATED,CLN,SNKFA,Clean sink and faucet,,
CLN,CTTL,Clean countertop - tile,,PLM,SNKR,Sink - single - Reset,,
MBL,CTRS,Countertop - cultured marble - Detach & reset,,PLM,FAURS,Sink faucet - Detach & reset,,
CAB,CTFLR,Countertop - flat laid plastic laminate - Reset,,PLM,SNKDBR,Sink - double - Reset,,
CAB,CTFLRS,Countertop - flat laid plastic laminate - Detach & reset,,PLM,SNKURS,Sink - undermount - Detach & reset,,
CAB,CTPFR,Countertop - post formed plastic laminate - Reset,,,,,,
CAB,CTPFRS,Countertop - post formed plastic laminate - Detach & reset,,,,,,
CAB,CTQ,Countertop - quartz/engineered stone,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
LIT,BAR,Light bar,,,,,,
Overide,,,,,,,,
LIT,BAR2,Light bar - 2 lights,,,,,,
LIT,BAR3,Light bar - 3 lights,,,,,,
LIT,BAR4,Light bar - 4 lights,,,,,,
LIT,BAR5,Light bar - 5 lights,,,,,,
LIT,BAR6,Light bar - 6 lights,,,,,,
LIT,BAR8,Light bar - 8 lights,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
ELE,OSCOV,Electrical outlet or switch,,,,,,
Overide,,,,,,,,
ELE,OS,Outlet,,,,,,
ELE,OSS,Switch,,,,,,
ELE,OSS3,Switch - 3 way,,,,,,
ELE,DIM,Dimmer switch,,,,,,
ELE,OSRS,Outlet or switch - Detach & reset,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
CAB,VAN,Vanity,,,,,,
Override,,,,,,,,
CAB,VAN-,Vanity - Standard grade,,,,,,
CAB,VAN+,Vanity - High grade,,,,,,
CAB,VAN++,Vanity - Premium grade,,,,,,
CAB,VAN+++,Vanity - Deluxe grade,,,,,,
CAB,R,Vanity - Reset,,,,,,
CAB,VANRS,Vanity - Detach & reset,,,,,,
CLN,VAN,Clean vanity - inside and out,,,,,,
CLN,VANF,Clean vanity - faces only,,,,,,
CAB,CUV,Custom cabinets - vanity units,,,,,,
WTR,CABVAN,Tear out cabinetry - vanity,,,,,,
PNT,VAN,Seal & paint vanity - inside and out,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
PLM,TUBS ,Fiberglass tub shower combination,,,,,,
Override,,,,,,,,
PLM,TUBSD,Fiberglass tub shower combination - Detach,,,,,,
PLM,TUBSR,Fiberglass tub shower combination - Reset,,,,,,
PLM,TUBRS,Fiberglass tub shower combination - Detach&Reset,,,,,,
PLM,TUBS-,Fiberglass tub shower combination Standard Grade,,,,,,
PLM,TUBS+,Fiberglass tub shower combination ,,,,,,
PLM,TUBS++,Fiberglass tub shower combination ,,,,,,
PLM,SWR,Fiberglass shower unit ,,,,,,
PLM,SWR-,Fiberglass shower unit - Standard grade,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
WDT,BLNDRS,Window blinds horizontal or vertical - Detach&reset,,,,,,
Override,,,,,,,,
WDT,BLDD,Window blinds horizontal or vertical - Detach,,,,,,
WDT,BLDR,Window blinds horizontal or vertical - Reset,,,,,,
CLN,BLND,Clean window blind - horizontal or vertical,,,,,,
WDT,HWRS,Window drapery - hardware - Detach & reset,,,,,,
,,,,,,,,
Category ,Code,Item,,,,,,
APP ,DW,Dishwasher,,,,,,
Override ,,,,,,,,
APP ,DWR,Dishwasher - Reset ,,,,,,
APP ,DWD,Dishwasher - Detach,,,,,,
APP ,DWRS,Dishwasher - Detach&reset ,,,,,,
CLN,DW,Clean Dishwasher - Interior and exterior ,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
LIT ,FNL,Ceiling fan with light,,,,,,
Override,,,,,,,,
LIT ,FNRS,Ceiling fan with light - Detach&reset,,,,,,
LIT ,FNR,Ceiling fan with light - Reset,,,,,,
LIT ,FND,Ceiling fan with light - Detach,,,,,,
CLN,FN,Clean ceiling fan and light,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
TIL  ,TUB,Tile tub surround,,,,,,
Override,,,,,,,,
TIL  ,SWR,Tile shower - 61 to 100 SF,,,,,,
MSD,RFGTILE,"Tile roofing - Clay - ""S"" or flat (per TILE)",,,,,,
TIL  ,TILSWR>,Tile shower - 101 to 120 SF,,,,,,
TIL  ,TILSWR>>,Tile shower - 121 to 150 SF,,,,,,
TIL  ,TILSWRRE,Tile shower - regrout,,,,,,
CLN,CLNSWR,Clean shower,,,,,,
MSD,DOR,Shower door,,,,,,
PLM,SWRB,Shower base,,,,,,
PLM,SWFAU,Shower faucet,,,,,,
PLM,SWRPAN,Shower pan,,,,,,
FNH,SROD,Shower curtain rod,,,,,,
PLM,SWFSH,Shower head only,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
APP,DRY,Dryer,,,,,,
Override,,,,,,,,
APP,DRYE,Dryer - Electric,,,,,,
APP,DRYG,Dryer - Gas,,,,,,
APP,DRYRS,Dryer - Remove & reset,,,,,,
APP,DRYGRS,Dryer - Remove & reset - gas,,,,,,
APP,DRYER,Dryer - Electric - Reset,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
FCT,AV,Tile floor covering,,,,,,
Override,,,,,,,,
TIL,BCEM1/4,"1/4"" Cement board",,,,,,
TIL,BENCH,Additional charge to tile a bench seat,,,,,,
TIL,NICHE,Additional charge to tile a wall niche,,,,,,
TIL,DIAGADD,Add-on for diagonal tile installation,,,,,,
TIL,B,Ceramic tile base,,,,,,
TIL,BMUD,Mortar bed for tile,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
LIT,AV,Light fixture ,,Category,Code,Item,,
Override,,,,LAB,ELE,Electrician - per hour,,FALSE
LIT-,AV-,Light fixture - Standard grade,Related,ELE,110S,"110 volt copper wiring run, box and switch",,
LIT+,AV+,Light fixture - High grade,,ELE,220,"220 volt copper wiring run, box and receptacle",,
LIT++,AV++,Light fixture - Premium grade,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,$92.40 EA,FALSE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,$214.60 EA,FALSE
